n,mass,algo,mean_time,std_time,mean_comparisons,mean_swaps
1000,random,quicksort_recursive,0.0020350604285600377,0.00014345104030225451,11032.0,4824.571428571428
1000,random,quicksort_hybrid,0.0019119102857173078,9.84303084500783e-05,11070.285714285714,5065.428571428572
1000,random,quicksort_hybrid_median,0.0017785295714410104,5.8425078572262815e-05,9893.857142857143,4854.714285714285
1000,sorted,quicksort_recursive,0.11711782200003588,0.004398086903742713,499500.0,0.0
1000,sorted,quicksort_hybrid,0.08529064757146898,0.005595036216742168,499490.0,0.0
1000,sorted,quicksort_hybrid_median,0.0013396941428709397,0.0002981721193843962,8614.0,464.0
1000,reverse,quicksort_recursive,0.06045965199999565,0.0017900243384170527,499500.0,500.0
1000,reverse,quicksort_hybrid,0.06300545899999374,0.005395381416418614,499500.0,512.0
1000,reverse,quicksort_hybrid_median,0.0027808141428360095,0.00011528827458904157,15359.0,9020.0
1000,many_duplicates,quicksort_recursive,0.02288614971429784,0.0005486521125878399,102233.42857142857,1150.7142857142858
1000,many_duplicates,quicksort_hybrid,0.022312097285716197,0.0007062588390393034,102183.42857142857,1150.7142857142858
1000,many_duplicates,quicksort_hybrid_median,0.022442026999994726,0.00039791309040194413,104900.42857142857,2189.714285714286
1000,worst_for_lomuto,quicksort_recursive,0.11901790057140715,0.005644010973048091,499500.0,0.0
1000,worst_for_lomuto,quicksort_hybrid,0.08551784785713933,0.006541217225908439,499490.0,0.0
1000,worst_for_lomuto,quicksort_hybrid_median,0.0012794414285833358,5.42764901102127e-05,8614.0,464.0
5000,random,quicksort_recursive,0.013824586142862114,0.0009654669607564327,73517.42857142857,33268.71428571428
5000,random,quicksort_hybrid,0.013569649714294687,0.00044143779785808053,73722.85714285714,34477.857142857145
5000,random,quicksort_hybrid_median,0.011768915714290935,0.00034242392379292845,65162.0,31187.14285714286
5000,sorted,quicksort_recursive,3.377253154428542,0.5033624055945082,12497500.0,0.0
5000,sorted,quicksort_hybrid,2.227147692428535,0.32799606411946614,12497490.0,0.0
5000,sorted,quicksort_hybrid_median,0.007535558142860411,0.0001795587820038354,53986.0,2046.0
5000,reverse,quicksort_recursive,1.7056412218571657,0.4366465743275492,12497500.0,2500.0
5000,reverse,quicksort_hybrid,1.7182579088571401,0.28828994223025534,12497500.0,2512.0
5000,reverse,quicksort_hybrid_median,0.01893318485711656,0.0002473544722748796,105263.0,63020.0
5000,many_duplicates,quicksort_recursive,0.7954498139999779,0.2090769922681633,2512419.0,5270.0
5000,many_duplicates,quicksort_hybrid,0.4589402099999883,0.010054087774661272,2512369.0,5270.0
5000,many_duplicates,quicksort_hybrid_median,0.4539504552857027,0.009956518362246697,2526133.0,11523.142857142857
5000,worst_for_lomuto,quicksort_recursive,3.4115696370000057,0.48642642498312094,12497500.0,0.0
5000,worst_for_lomuto,quicksort_hybrid,2.234983347571415,0.3741471817130025,12497490.0,0.0
5000,worst_for_lomuto,quicksort_hybrid_median,0.014941579571460093,0.0008233368990761912,53986.0,2046.0
10000,random,quicksort_recursive,0.05516824342854371,0.0023987924402259346,157506.2857142857,72493.85714285714
10000,random,quicksort_hybrid,0.05328416157142003,0.00322944593443379,157891.85714285713,74889.85714285714
10000,random,quicksort_hybrid_median,0.04702473228573061,0.001699676861609427,141308.85714285713,69883.28571428571
10000,sorted,quicksort_recursive,13.482891599999984,0.1664456939737175,49995000.0,0.0
10000,sorted,quicksort_hybrid,9.113012312714286,0.4415329861341537,49994990.0,0.0
10000,sorted,quicksort_hybrid_median,0.018630187857151474,0.0032146265857541895,117963.0,4094.0
10000,reverse,quicksort_recursive,6.854296143142847,0.620056955942619,49995000.0,5000.0
10000,reverse,quicksort_hybrid,6.810412561857155,0.5030036848718344,49995000.0,5012.0
10000,reverse,quicksort_hybrid_median,0.04309348114283499,0.0010425908734487434,235507.0,141088.0
10000,many_duplicates,quicksort_recursive,2.623972780714293,0.37472992598738036,10023148.42857143,13674.285714285714
10000,many_duplicates,quicksort_hybrid,1.8905309204285783,0.3836817159668852,10023098.42857143,13674.285714285714
10000,many_duplicates,quicksort_hybrid_median,1.8932055232857172,0.3601269887569936,10053906.142857144,23380.0
10000,worst_for_lomuto,quicksort_recursive,13.552197535714201,0.2672370143769263,49995000.0,0.0
10000,worst_for_lomuto,quicksort_hybrid,9.105352392428554,0.4728843348273601,49994990.0,0.0
10000,worst_for_lomuto,quicksort_hybrid_median,0.016941585714286184,0.0008318106880148686,117963.0,4094.0
